VariableCode,RegionCode,YearCode,AggValue
cda,SGP,1973,20261.21875000000000000
cda,SGP,1974,22695.93750000000000000
cda,SGP,1975,22988.55468750000000000
cda,SGP,1976,24115.87304687500000000
cda,SGP,1977,24669.10937500000000000
cda,SGP,1978,27884.40429687500000000
cda,SGP,1979,31124.94726562500000000
cda,SGP,1980,35087.26171875000000000
cda,SGP,1981,37445.27343750000000000
cda,SGP,1982,41865.61718750000000000
cda,SGP,1983,45295.04296875000000000
cda,SGP,1984,48629.82421875000000000
cda,SGP,1985,46352.20312500000000000
cda,SGP,1986,44404.88671875000000000
cda,SGP,1987,48027.27343750000000000
cda,SGP,1988,49831.32812500000000000
cda,SGP,1989,54584.49609375000000000
cda,SGP,1990,60287.74218750000000000
cda,SGP,1991,63862.53125000000000000
cda,SGP,1992,68781.71875000000000000
cda,SGP,1993,78409.46093750000000000
cda,SGP,1994,80463.90625000000000000
cda,SGP,1995,87294.21093750000000000
cda,SGP,1996,96187.28906250000000000
cda,SGP,1997,110953.67187500000000000
cda,SGP,1998,104355.60937500000000000
cda,SGP,1999,117029.14062500000000000
cda,SGP,2000,146302.17187500000000000
cda,SGP,2001,147732.18750000000000000
cda,SGP,2002,155538.42187500000000000
cda,SGP,2003,152523.53125000000000000
cda,SGP,2004,181628.39062500000000000
cda,SGP,2005,200918.95312500000000000
cda,SGP,2006,216354.46875000000000000
cda,SGP,2007,233253.04687500000000000
cda,SGP,2008,270009.90625000000000000
cda,SGP,2009,262461.84375000000000000
cda,SGP,2010,299199.78125000000000000
cda,SGP,2011,314992.84375000000000000
cda,SGP,2012,338303.21875000000000000
cda,SGP,2013,339639.75000000000000000
cda,SGP,2014,337399.87500000000000000
cda,SGP,2015,328718.25000000000000000
cda,SGP,2016,338765.15625000000000000
cda,SGP,2017,355708.53125000000000000
cda,SGP,2018,360890.34375000000000000
cda,SGP,2019,364268.78125000000000000
