VariableCode,RegionCode,YearCode,AggValue
hc,HKG,1964,1.83083260059357000
hc,HKG,1965,1.84248208999634000
hc,HKG,1966,1.85761165618896000
hc,HKG,1967,1.87286543846130000
hc,HKG,1968,1.88824450969696000
hc,HKG,1969,1.90374982357025000
hc,HKG,1970,1.91938233375549000
hc,HKG,1971,1.93998897075653000
hc,HKG,1972,1.96081686019897000
hc,HKG,1973,1.98186838626862000
hc,HKG,1974,2.00314593315125000
hc,HKG,1975,2.02465176582336000
hc,HKG,1976,2.06836867332459000
hc,HKG,1977,2.11302947998047000
hc,HKG,1978,2.15865445137024000
hc,HKG,1979,2.20526480674744000
hc,HKG,1980,2.25288152694702000
hc,HKG,1981,2.29455447196960000
hc,HKG,1982,2.33699822425842000
hc,HKG,1983,2.38022732734680000
hc,HKG,1984,2.42425584793091000
hc,HKG,1985,2.46909880638123000
hc,HKG,1986,2.51492810249329000
hc,HKG,1987,2.56107640266418000
hc,HKG,1988,2.59298491477966000
hc,HKG,1989,2.62529087066650000
hc,HKG,1990,2.65799951553345000
hc,HKG,1991,2.66496801376343000
hc,HKG,1992,2.67195510864258000
hc,HKG,1993,2.67896032333374000
hc,HKG,1994,2.68598389625549000
hc,HKG,1995,2.69302582740784000
hc,HKG,1996,2.69495582580566000
hc,HKG,1997,2.69688725471497000
hc,HKG,1998,2.69882011413574000
hc,HKG,1999,2.70075416564941000
hc,HKG,2000,2.70268964767456000
hc,HKG,2001,2.77382469177246000
hc,HKG,2002,2.84683156013489000
hc,HKG,2003,2.92176032066345000
hc,HKG,2004,2.99866104125977000
hc,HKG,2005,3.07758593559265000
hc,HKG,2006,3.09046745300293000
hc,HKG,2007,3.10340285301209000
hc,HKG,2008,3.11639237403870000
hc,HKG,2009,3.12943625450134000
hc,HKG,2010,3.14253473281860000
hc,HKG,2011,3.15591335296631000
hc,HKG,2012,3.16942524909973000
hc,HKG,2013,3.18307209014893000
hc,HKG,2014,3.19685554504395000
hc,HKG,2015,3.21077752113342000
hc,HKG,2016,3.22483944892883000
hc,HKG,2017,3.23904347419739000
hc,HKG,2018,3.25339078903198000
hc,HKG,2019,3.26788377761841000
labsh,HKG,1960,0.46272388100624100
labsh,HKG,1961,0.46272388100624100
labsh,HKG,1962,0.46272388100624100
labsh,HKG,1963,0.46272388100624100
labsh,HKG,1964,0.46272388100624100
labsh,HKG,1965,0.46272388100624100
labsh,HKG,1966,0.46272388100624100
labsh,HKG,1967,0.46272388100624100
labsh,HKG,1968,0.46272388100624100
labsh,HKG,1969,0.46272388100624100
labsh,HKG,1970,0.46272388100624100
labsh,HKG,1971,0.46272388100624100
labsh,HKG,1972,0.46272388100624100
labsh,HKG,1973,0.46272388100624100
labsh,HKG,1974,0.46272388100624100
labsh,HKG,1975,0.46272388100624100
labsh,HKG,1976,0.46272388100624100
labsh,HKG,1977,0.46272388100624100
labsh,HKG,1978,0.46272388100624100
labsh,HKG,1979,0.46272388100624100
labsh,HKG,1980,0.46272388100624100
labsh,HKG,1981,0.46643230319023100
labsh,HKG,1982,0.47887268662452700
labsh,HKG,1983,0.49079042673111000
labsh,HKG,1984,0.47348916530609100
labsh,HKG,1985,0.50027137994766200
labsh,HKG,1986,0.49199047684669500
labsh,HKG,1987,0.47360220551490800
labsh,HKG,1988,0.46732476353645300
labsh,HKG,1989,0.47092381119728100
labsh,HKG,1990,0.48713979125022900
labsh,HKG,1991,0.47652620077133200
labsh,HKG,1992,0.46825838088989300
labsh,HKG,1993,0.45927229523658800
labsh,HKG,1994,0.44908237457275400
labsh,HKG,1995,0.47235384583473200
labsh,HKG,1996,0.47552597522735600
labsh,HKG,1997,0.48082143068313600
labsh,HKG,1998,0.50674688816070600
labsh,HKG,1999,0.50802427530288700
labsh,HKG,2000,0.50749325752258300
labsh,HKG,2001,0.51810532808303800
labsh,HKG,2002,0.51440083980560300
labsh,HKG,2003,0.51511842012405400
labsh,HKG,2004,0.50047564506530800
labsh,HKG,2005,0.49025470018386800
labsh,HKG,2006,0.48774510622024500
labsh,HKG,2007,0.49263226985931400
labsh,HKG,2008,0.48671704530715900
labsh,HKG,2009,0.51149356365203900
labsh,HKG,2010,0.51536113023757900
labsh,HKG,2011,0.51699692010879500
labsh,HKG,2012,0.52169632911682100
labsh,HKG,2013,0.51882249116897600
labsh,HKG,2014,0.51979738473892200
labsh,HKG,2015,0.51272773742675800
labsh,HKG,2016,0.52026396989822400
labsh,HKG,2017,0.51853018999099700
labsh,HKG,2018,0.51853018999099700
labsh,HKG,2019,0.51853018999099700
cn,HKG,1960,38443.87500000000000000
cn,HKG,1961,40874.05078125000000000
cn,HKG,1962,44550.69140625000000000
cn,HKG,1963,49887.25000000000000000
cn,HKG,1964,55723.19921875000000000
cn,HKG,1965,62207.33593750000000000
cn,HKG,1966,67077.85156250000000000
cn,HKG,1967,70731.14843750000000000
cn,HKG,1968,73823.50781250000000000
cn,HKG,1969,76968.07031250000000000
cn,HKG,1970,80453.51562500000000000
cn,HKG,1971,85351.63281250000000000
cn,HKG,1972,90426.21093750000000000
cn,HKG,1973,96049.71875000000000000
cn,HKG,1974,101043.53906250000000000
cn,HKG,1975,106374.06250000000000000
cn,HKG,1976,112113.15625000000000000
cn,HKG,1977,120272.10156250000000000
cn,HKG,1978,128994.10156250000000000
cn,HKG,1979,139639.46875000000000000
cn,HKG,1980,152681.76562500000000000
cn,HKG,1981,168789.93750000000000000
cn,HKG,1982,185662.09375000000000000
cn,HKG,1983,201261.23437500000000000
cn,HKG,1984,218704.51562500000000000
cn,HKG,1985,236822.48437500000000000
cn,HKG,1986,257674.03125000000000000
cn,HKG,1987,284209.68750000000000000
cn,HKG,1988,316968.37500000000000000
cn,HKG,1989,356065.81250000000000000
cn,HKG,1990,403845.59375000000000000
cn,HKG,1991,461655.25000000000000000
cn,HKG,1992,531405.37500000000000000
cn,HKG,1993,608590.81250000000000000
cn,HKG,1994,699016.00000000000000000
cn,HKG,1995,799522.81250000000000000
cn,HKG,1996,892584.81250000000000000
cn,HKG,1997,979919.87500000000000000
cn,HKG,1998,1043258.43750000000000000
cn,HKG,1999,1078070.75000000000000000
cn,HKG,2000,1115436.37500000000000000
cn,HKG,2001,1155051.87500000000000000
cn,HKG,2002,1189851.25000000000000000
cn,HKG,2003,1230891.50000000000000000
cn,HKG,2004,1286870.12500000000000000
cn,HKG,2005,1360514.50000000000000000
cn,HKG,2006,1454308.50000000000000000
cn,HKG,2007,1557624.75000000000000000
cn,HKG,2008,1674421.62500000000000000
cn,HKG,2009,1794421.62500000000000000
cn,HKG,2010,1917344.00000000000000000
cn,HKG,2011,2034452.00000000000000000
cn,HKG,2012,2113565.75000000000000000
cn,HKG,2013,2319683.50000000000000000
cn,HKG,2014,2380775.00000000000000000
cn,HKG,2015,2453276.25000000000000000
cn,HKG,2016,2492740.75000000000000000
